Document Number,Alternate Numbering,Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 139,HCM 139,GRANT,Hereford,Documented,1353-09-02T00:00:00Z,,13535 Monday next before the Feast of the Nativity of the Virgin Mary | September 2],,Hereford,1353,"13535 Monday next before the Feast of the Nativity of the Virgin Mary | September 2], GRANT"
HCM 1395,HCM 1395,RELEASE,(Colwall Herefordshire),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,"lands at Colewell (granted by Bp of Hereford); Malvern Hills; nr Chevenham, which = witness name","Late 13th. century, RELEASE"
HCM 140,HCM 140,GRANT,Hereford,Documented,1361-07-01T00:00:00Z,,"1361,  Thursday next after the Feast of ,   St. Peter and Paul,  the ipeatlen [aly 1]",,Hereford,"??, domini, so all these guys are clerical","1361, Thursday next after the Feast of ,  St. Peter and Paul, the ipeatlen [aly 1], saddeleye, as, GRANT"
HCM 1414,HCM 1414,NOTARIAL INSTRUMENT,Orvieto Italy Palatio Mon’ sancte Crucis,Documented,1282-08-31T00:00:00Z,,"1282,  August 31.",,Palatio Mon’ sansie Crucis at Orvieto,Orvieto Italy Palatio Mon’ sancte Crucis = aka Palazio Monaldeschi,"1282, August 31., NOTARIAL INSTRUMENT"
HCM 1414 A,HCM 1414 A,NOTARIAL INSTRUMENT,Leominster Priory,Documented,1282-12-03T00:00:00Z,,"1282,  Thursday,  December 3.",,Given in the chamber of the Archbishop of Canterbury but apparently while he's staying at the priory of Leominster,"please add/create a second document, for the embedded letter from Orvieto (september 1282) that is contained within the Dec 1282 document from the chamber of archbishop while staying at priory of Leominster","1282, Thursday, December 3., NOTARIAL INSTRUMENT"
HCM 1414 A-em,HCM 1414 A-em,letters,Orvieto Italy,Documented,1282-08-28T00:00:00Z,,Nones of September in the yeaR 1282,,Orvieto,"(embedded doc), (embedded doc)","letters, Nones of September in the yeaR 1282"
HCM 1416,HCM 1416,COMMISSION,Mortlake Palace,Documented,1285-04-30T00:00:00Z,,"1285,  2 Kal. May [30 April].",,Mortelake,Mortlake Palace = residence / manor of Archbp of Canterbury in Surrey,"1285, 2 Kal. May [30 April]., COMMISSION"
HCM 1417,HCM 1417,NOTARIAL INSTRUMENT,chapter-house at Hereford,Documented,1305-10-26T00:00:00Z,,"1305,  7 Kal. November [October 26]",,chapter of the greater church of Hereford,,"1305, 7 Kal. November [October 26], NOTARIAL INSTRUMENT"
HCM 1418,HCM 1418,MEMORANDUM,chapter-house at Hereford,Documented,1293-04-01T00:00:00Z,,"1293,  April 1.",,chapter-house at Hereford,,"1293, April 1., MEMORANDUM"
HCM 1419,HCM 1419,AGRERMENT,Hereford,Documented,1295-07-26T00:00:00Z,,"1295,  Tuesday next after the Feast of Saint James the Apostle [July 26].",,Hereford,probably in chapter-house,"1295, Tuesday next after the Feast of Saint James the Apostle [July 26]., AGRERMENT"
HCM 142,HCM 142,GRANT,Hereford,Documented,1336-09-23T00:00:00Z,,"1336,  Monday next after the Feast of St. ,   Matthew the Apostle | September 23]",,Hereford,,"1336, Monday next after the Feast of St. ,  Matthew the Apostle | September 23], GRANT"
HCM 1420,HCM 1420,INDULGENCE,Boyton Castle Wiltshire,Documented,1285-01-02T00:00:00Z,,"1284/5,  4 Non. January Jenuary 2",,Boyton’,"Boyton Castle = home of Hugh Giffard, father of Geoffrey Giffard Bp of Worcester (principal)","1284/5, 4 Non. January Jenuary 2, INDULGENCE"
HCM 1421,HCM 1421,INDULGENCE,Hereford,Documented,1324-04-07T00:00:00Z,,"1324,  7 Ides April jspril 7.",,Hereford,,"1324, 7 Ides April jspril 7., INDUIGENCE"
HCM 1422,HCM 1422,INDULGENCE,London,Documented|Suggested,1285-05-09T00:00:00Z,,"1285,  7 Ides May [May 9].",,London,possibly at London Inn of the Bp of Carlisle in Strand,"1285, 7 Ides May [May 9]., INDULGENCE"
,,,London Inn of the Bishop of Carlisle in Strand,,,,,,,,
HCM 1423,HCM 1423,INDULGENCE,London New Temple,Documented,1285-05-04T00:00:00Z,,"1285,  4 Non. May. [May 4].",,New Temple,,"1285, 4 Non. May. [May 4]., INDULGENCE"
HCM 1424,HCM 1424,INDULGENCE,London,Documented|Suggested,1286-04-27T00:00:00Z,,"1286,  5 Kal,  May [april 27)",,London,possibly at London Inn of the Bp of Rochester at Lambeth,"1286, 5 Kal, May [april 27), INDUIGENCE"
,,,London Inn of the Bishop of Rochester at Lambeth,,,,,,,,
HCM 1425,HCM 1425,INDULGENCE,Hereford,Documented|Suggested,1289-07-20T00:00:00Z,,"1289,  13 Kal. August LJuly 20.",,Hereford,,"1289, 13 Kal. August LJuly 20., INDULGENCE"
HCM 1426,HCM 1426,NDULGENCE,Hereford,Documented,1291-04-15T00:00:00Z,,"1291,  April 15.",,Hereford,,"1291, April 15., NDULGENCE"
HCM 1427,HCM 1427,INDULGENCE,Hereford,Documented,1318-09-15T00:00:00Z,,"1318,  17 Kal,  October September 15.",,Hereford,,"1318, 17 Kal, October September 15., INDULGENCE"
HCM 1428,HCM 1428,INDULGENCE,London,Documented|Suggested,1320-10-23T00:00:00Z,,"1320,  10 Kal,  November October 23",,London,possibly at London Inn of the Bishop of Bath and Wells nr St Clement's Danes outside Temple Bar,"1320, 10 Kal, November October 23,, INDULGENCE"
,,,London Inn of the Bishop of Bath and Wells nr St Clement's Danes outside Temple Bar,,,,,,,,
HCM 1429,HCM 1429,INDULGENCE,London,Documented|Suggested,1320-10-22T00:00:00Z,,"1520,  11 Kal,  November \October 22",,London,1320|possibly at London Inn of the Bp of Salisbury,"1520, 11 Kal, November \October 22,, INDUIGENCE"
,,,London Inn of the Bishop of Salisbury,,,,,,,,
HCM 1430,HCM 1430,INDULGENCE,London,Documented|Suggested,1320-10-22T00:00:00Z,,"1320,  11 Kal,  November [October 22)",,London,poss at London Inn & Garden of the Bishop of Chichester Chancery Lane,"1320, 11 Kal, November [October 22),, INDULGENCE"
,,,London Inn & Garden of the Bishop of Chichester Chancery Lane,,,,,,,,
HCM 1431,HCM 1431,INDULGENCE,Cawood Castle,Documented,1321-04-14T00:00:00Z,,"1321,  18 Kal. May  April 14.",,Cawode,Cawood Castle = primary residence of Archbp of York,"1321, 18 Kal. May  April 14., INDULGENCE"
HCM 1432,HCM 1432,INDULGENCE,Peterhayes Palace Yarcombe Devon,Documented,1327-04-26T00:00:00Z,,"1327,  April 26.",,Petresheghes,"Peterhayes Palace of the Bp of Exeter, Yarcombe, Devon","1327, April 26., INDULGENCE"
HCM 1433,HCM 1433,INDULGENCE,Hereford,Documented,1328-04-07T00:00:00Z,,"1328,  April 7.",,Hereford,1320,"1328, April 7., INDULGENCE, 1523, Saturday after the Feast of ,   Saint Dionysius october 151s, LETTER OF QUITTANCE, 1520, November 20., LETTERS PATENT"
HCM 1434,HCM 1434,LETTER OF QUITTANCE,chapter-house at Hereford,Documented,1323-10-15T00:00:00Z,,1323s Saturday next after the feast o f Saint Qionysius [October 1$],,the chapter-house at Hereford,,added manually
HCM 1435,HCM 1435,LETTERS OF PATENT,Westminster,Documented,1320-11-20T00:00:00Z,,"1320, November 20.",,Westminster,,added manually
HCM 1436,HCM 1436,RECEIPT,Hereford,Documented,1321-06-19T00:00:00Z,,"1321,  Friday next after the Feast of Saint ,   Botulf,  the abbot June 19).",,Hereford,,"1321, Friday next after the Feast of Saint ,  Botulf, the abbot June 19)., RECEIPT"
HCM 1437,HCM 1437,RECEIPT,London,Documented,1321-03-31T00:00:00Z,,"1321,  Mareh 31.",,London,,"1321, Mareh 31., RECEIPT"
HCM 1438,HCM 1438,RECEIPT,Hereford,Documented,1309-07-15T00:00:00Z,,"1309,  Tuesday next before the Feast of St. Kenelm [July 15]",,Hereford,,"1309, Tuesday next before the Feast of St. Kenelm [July 15], RECEIPT"
HCM 1439,HCM 1439,RECEIPT,London,Documented,1308-07-11T00:00:00Z,,"1308,  July 11",,London,where is Wm Testa staying in London?,"1308, July 11, RECEIPT"
HCM 1440,HCM 1440,RECEIPT,London,Documented,1320-12-06T00:00:00Z,,"1320,  Saturday,  the Feast of Saint ,   Siaktias oeomber 6)",,London,RECEIPT,"1320, Saturday, the Feast of Saint ,  Siaktias oeomber 6),, REOEIPT"
HCM 1441,HCM 1441,PAPAL BULL,Bordeaux France,Documented,1305-08-23T00:00:00Z,,"1305,  10 Kal. September [August 23]",,Bordeaux,,"1305, 10 Kal. September [August 23], PAPAL BULL"
HCM 1442,HCM 1442,LETTER,chapter-house at St Paul's London,Documented,1306-01-01T00:00:00Z,1306-12-31T00:00:00Z,[?1306],,chapter-house the cathedral church of London,find site of pre-Wren medieval building?,"[?1306], LETTER"
HCM 1443,HCM 1443,LETTER,Avignon,Documented,1306-07-08T00:00:00Z,,"[?1306],  July 8.",,Avignon,,"[?1306], July 8., LETTER"
HCM 1444,HCM 1444,LETTER,Lambeth Palace,Documented,1320-11-18T00:00:00Z,,"1520,  14 Kal,  December |Novenber 18|",,Lambeth,1320,"1520, 14 Kal, December |Novenber 18|, LETTER"
HCM 1445,HCM 1445,NOTARIAL INSTRUMENT,Avignon,Documented,1320-09-03T00:00:00Z,,"1520,  September 3.",,Avignon,"1320, NOTARIAL INSTRUMENT","1520, September 3., BOTARIAL INSTRUMENT"
HCM 1446,HCM 1446,DETAILS OF COLLECTIONS,(Norwich),Suggested,1320-01-01T00:00:00Z,1320-12-31T00:00:00Z,\giree 1320.,approx,,collections made in archdeaconry of Norfolk,"\giree 1320., DETAILS OF COLLECTIONS"
HCM 1447,HCM 1447,FORMS OF INDULGENCE,(Avignon),Suggested,1320-01-01T00:00:00Z,1320-12-31T00:00:00Z,|girea 1520.,approx,,circa 1320|promulgated with papal bull,"|girea 1520., FORMS OF INDULGENCE"
HCM 1448a,"RBLR 6101, HCM 1448a",RECEIPT,Hereford,Documented,1361-12-22T00:00:00Z,,"1361 Eatnentay next after the Feast of Saint Thomas Apostle,  namely December 22",,Hereford,"candidate for subdivision--i.e. separate 1448a from 1448b, RECEIPT","HCM 1448, 1361 Eatnentay next after the Feast of Saint Thomas Apostle, namely December 22,, RSCEIPT, LIST"
HCM 1448b,"RBLR 6102, HCM 1448b",LIST,(Hereford),Suggested,1361-12-22T00:00:00Z,,,,,"Attached to 1448a in typescript|RESEARCH THIS for possible RB item mentions, e.g. Breviary",
HCM 147,HCM 147,GRANT,Weobley Herefordshire,Documented,1345-02-16T00:00:00Z,,"1344/5,  Wednesday next after the Teast .   of 5t. Valentine (February 16)",,Webbel',,"1344/5, Wednesday next after the Teast .   of 5t. Valentine (February 16), GRANT"
HCM 1471,HCM 1471,GRANT in fee-farm,Hereford,Documented,1334-04-29T00:00:00Z,,"1334,  Friday next after the Feast of Saint Mark the Evangelist (April 29]",,Hereford,,"1334, Friday next after the Feast of Saint Mark the Evangelist (April 29], GRANT, in fee-ferm,"
HCM 1472,HCM 1472,RELEASE,Hereford,Documented,1292-07-02T00:00:00Z,,"1292,  wednesday next after the Feast of the Apostles Peter and Paul (July 2)",,Hereford,,"1292, wednesday next after the Feast of the Apostles Peter and Paul (July 2), RELEASE"
HCM 1473,HCM 1473,RELEASE,Hereford,Documented,1345-12-30T00:00:00Z,,"1345,  Friday next before the Feast of the ,   Circumcision of our lord \December 30)",,Hereford,,"1345, Friday next before the Feast of the ,  Circumcision of our lord \December 30), RELEASE"
HCM 1474,HCM 1474,GRANT,Hereford,Documented,1350-04-08T00:00:00Z,,"1350,  April 8",,Hereford,"GRANT, ?|grantor","1350, April 8, asta ohag, a"
HCM 1481,HCM 1481,LEASE,(Hereford),Suggested,1300-01-01T00:00:00Z,1350-12-31T00:00:00Z,first half 14th,first half 14th century,,"first half 14th, per Penelope|principals = Hereford, meadow in Walleney","14th century., LEASE"
HCM 1485,HCM 1485,AGREEMENT,(Hereford),Suggested,1314-01-01T00:00:00Z,1314-12-31T00:00:00Z,[circa 1314].,circa 1314,Hereford,people of & property at Hereford,"[circa 1314]., AGREEMENT"
HCM 1486,HCM 1486,GRANT in fee-farm,Preston-on-Wye Herefordshire,Documented,1323-10-09T00:00:00Z,,"1323,  Sunday,  the Feast of Saint ,   Dyonisius [October 9]",,Preston,mentions of Wye & Maddeleye,"1323, Sunday, the Feast of Saint ,  Dyonisius [October 9], GRANT in fee-farm"
HCM 1487,HCM 1487,GRANT,Hereford,Documented,1331-12-29T00:00:00Z,,"1331,  Sunday,  the Feast of Saint Thomas,  ,   martyr | December 29]",,Hereford,,"1331, Sunday, the Feast of Saint Thomas, ,  martyr | December 29], GRANT"
HCM 1489,HCM 1489,RELEASE,Hereford,Documented,1308-07-26T00:00:00Z,,"1308,  Friday next after the Feast of Saint James the Apostle [July 26]",,Hereford,,"1308, Friday next after the Feast of Saint James the Apostle [July 26], RELEASE"
HCM 1496,HCM 1496,NOTARIAL INSTRUMENT,Hereford Cathedral,Documented,1340-05-29T00:00:00Z,,"1340,  May 29.",,cathedral church,,"1340, May 29., NOTARIAL INSTRUMENT"
HCM 15,HCM 15,GRANT,(Breinton),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,isirca 1300.,approx,,people of and land at Breynton (& secondarily Hereford),"isirca 1300., GRANT"
HCM 150,HCM 150,RELEASE,(Hereford),Suggested,1315-04-30T00:00:00Z,,"1315,  the day of the Vigil of the Ascension of the Jord,  Kalends of May [April 30]",,Hereford,people of and property at Hereford,"1315, the day of the Vigil of the Ascension of the Jord, Kalends of May [April 30], RELEASE"
HCM 1502,HCM 1502,MANDATE,London,Documented|Suggested,1304-12-03T00:00:00Z,,"1304,  3 Non. December December 3",,Lendo,,"1304, 3 Non. December December 3,, MAIDATE"
,,,Church of St Mary of Arches,,,,,,,,
HCM 1503,HCM 1503,MANDATE,London,Documented|Suggested,1309-11-02T00:00:00Z,,"1309,  4 Non. November [November 2]",,London,,"1309, 4 Non. November [November 2], MANDATE"
,,,Church of St Mary of Arches,,,,,,,,
HCM 1504,HCM 1504,MANDATE,Arleye Kings Worcestershire,Documented,1310-01-08T00:00:00Z,,"1309/10,  6 Ides January [January 8]",,Arleye,"presumably Areley Kings, on Severn","1309/10, 6 Ides January [January 8], MANDATE"
HCM 1504-em,HCM 1504-em,MANDATE,London Church of St Mary of Arches,Suggested,1309-11-02T00:00:00Z,,4 Nones November,,Court of Arches,"(embedded doc), (embedded doc)|1309|seems like embedded doc is actualy HCM 1503","mandate, 4 Nones November"
HCM 1505,HCM 1505,RETURN,Carmarthen Wales,Documented,1310-02-15T00:00:00Z,,"1309/10,  Sunday in Septuagesima [February 15]",,Kermerdyn,Kermerdyn = Carmarthen,"1309/10, Sunday in Septuagesima [February 15], RETURN"
HCM 1506,HCM 1506,NOTES OF EVENTS,(Carmarthen church of St Peter),Suggested,1309-01-01T00:00:00Z,1309-12-31T00:00:00Z,[circa 1309].,approx,parish church of Saint Peter at Kermerdin,,"[circa 1309]., NOTES OF EVENTS"
HCM 1507.C.,HCM 1507.C.,MANDATE,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1316-05-05T00:00:00Z,,"1316,  3 Non. May [May 5]",,Bosebury,,"1316, 3 Non. May [May 5], MANDATE"
HCM 1507.D.,HCM 1507.D.,DUPLICATE,(Hereford),Suggested,1285-12-21T00:00:00Z,,"[1285,  December 21].",,,"dispute between Bp of H, D&C of H, citizens of H","[1285, December 21]., DUPLICATE"
HCM 151,HCM 151,GRANT,(Hereford),Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century.,approx,,land in and people of Hereford,"Early 14th century., GRANT,"
HCM 1510,HCM 1510,MEMORANDUM,LLawhaden Castle Pembrokeshire Wales,Documented,1338-08-19T00:00:00Z,,"1338,  14 Kal. September August 19.",,Lawad’,memo of bp of St Davids,"1338, 14 Kal. September August 19., MEMORANDUM"
HCM 1521,HCM 1521,DEFEASANCE,Gloucester,Documented,1330-04-23T00:00:00Z,,"1330,  Monday,  the Feast of St. George the martyr | April 23].",,Gloucester.,prob abbey of St Peters Gloucester,"1330, Monday, the Feast of St. George the martyr | April 23]., DEFEASANCE"
HCM 1522,HCM 1522,GRANT,(Gower),Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century.,approx,,"land in Gower, in purparty of Oweyn Vachan","Early 14th century., GRANT,"
HCM 1523,HCM 1523,BOND,Swansea,Documented,1314-04-23T00:00:00Z,,"1314,  Tuesday the Feast of Saint George,  martyr [April 23]",,Sweynes,,"1314, Tuesday the Feast of Saint George, martyr [April 23], BOND"
HCM 1524,HCM 1524,GRANT,chapter-house at Gloucester St Peter's,Documented,1339-07-17T00:00:00Z,,"be Saturday in the Feast of Saint Kenelm,  ,   king and martyr (July 17]",,chapter-house of the monastery of Gloucester,,"be Saturday in the Feast of Saint Kenelm, ,  king and martyr (July 17], GRANT"
HCM 1527,HCM 1527,PRECEPT,Wormelow Tump Herefordshire,Suggested,1326-09-19T00:00:00Z,1326-12-31T00:00:00Z,"1326,  post September 19",approx,Wormelowe,"Wormelow Tump was the site of meetings of Wormelow Hundred, which this doc references","1326, post September 19, PRECEPT"
HCM 1529,HCM 1529,GRANT,Oystermouth Castle,Documented,1315-10-12T00:00:00Z,,"1315,  October 12.",,Ostrem,,"1315, October 12., GRANT"
HCM 153,HCM 153,RELEASE,Hereford,Documented,1317-12-10T00:00:00Z,,"1317,  Saturday next after the Feast of St. Nicholas [December 10].",,Hereford,,"1317, Saturday next after the Feast of St. Nicholas [December 10]., RELEASE"
HCM 154,HCM 154,GRANT,Hereford,Documented,1342-07-12T00:00:00Z,,"1342,  Friday next after the Feast of the Translation of St. Thomas the Martyr (July 12].",,Hereford,,"1342, Friday next after the Feast of the Translation of St. Thomas the Martyr (July 12]., GRANT"
HCM 1542,HCM 1542,LETTER,(Hereford),Suggested,1361-01-01T00:00:00Z,1366-12-31T00:00:00Z,"13..,  eireg 1361 - cireg 1366",approx,,13... [circa 1361-circa 1366] (date illegible)|appointment of proxy by HC Canon,"13.., eireg 1361 - cireg 1366, LETTER"
HCM 1581,HCM 1581,GRANT,chapter-house at Gloucester St Peter's,Documented,1306-06-25T00:00:00Z,,"1306,  Saturday,  the morrow of the Feast of St. John the Baptist [June 25]",,chapter-house at Gloucester,,"1306, Saturday, the morrow of the Feast of St. John the Baptist [June 25], GRANT"
HCM 1583,HCM 1583,LEASE,Gloucester,Documented|Suggested,1287-12-21T00:00:00Z,,"1287,  the Feast of St. Thomas the Apostle December 21)",,Gloucester.,,"1287, the Feast of St. Thomas the Apostle December 21), LEASE"
,,,chapter-house at Gloucester St Peter's,,,,,,,,
HCM 1584,HCM 1584,RELEASE,Tenbury Wells Worcestershire,Documented,1351-05-27T00:00:00Z,,"1351,  Fri next after the Feast of   . * Saint Benelbert |May 27)»",,Temedebur',,"1351, Fri next after the Feast of   . * Saint Benelbert |May 27)», RELEASE"
HCM 1587,HCM 1587,GRANT,Tenbury Wells Worcestershire,Documented,1351-12-12T00:00:00Z,,"1351,  Mondey next after the Feast of St,  Nicholas the bishop (December 12]",,Temedebur',,"1351, Mondey next after the Feast of St, Nicholas the bishop (December 12], GRAN?"
HCM 1599,HCM 1599,MANDATE,London,Documented,1308-03-06T00:00:00Z,,"1307/8,  March 6.",,London,vicar of Archbp of Canterbury,"1307/8, March 6., MANDATE"
HCM 16,HCM 16,GRANT,(Breinton),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,land at & people of Breynton|Hereford = secondary option,"Lgirea 1300, GRANT"
HCM 1600,HCM 1600,BOND,chapter-house at Gloucester St Peter's,Documented,1298-12-13T00:00:00Z,,"1298,  the Feast of Lucia the Virgin : ,   iLDecember 13].",,chapter-house at Gloucester,,"1298, the Feast of Lucia the Virgin : ,  iLDecember 13]., BOND"
HCM 1601,HCM 1601,LEASE,Upton St Leonards Gloucestershire,Documented,1338-09-07T00:00:00Z,,"1338,  Monday next before the Feast of the ,   Nativity of the Blessed Mary |September 7]",,Upton’ St. Leonard,,"1338, Monday next before the Feast of the ,  Nativity of the Blessed Mary |September 7], LEASE"
HCM 1610,HCM 1610,RECEIPT,Gloucester,Documented,1305-04-19T00:00:00Z,,"1305,  Monday the morrow of Easter [April 19]",,Gloucester.,,"1305, Monday the morrow of Easter [April 19], RECEIPT"
HCM 1611,HCM 1611,LEASE,chapter-house at Gloucester St Peter's,Documented,1342-06-11T00:00:00Z,,"1342,  Tuesday the Feast of St. Barnabas the Apostle | June 11j",,chapter-house at Gloucester,,"1342, Tuesday the Feast of St. Barnabas the Apostle | June 11j, LEASE"
HCM 1613,HCM 1613,GENERAL RELEASE,Gloucester,Documented,1338-04-02T00:00:00Z,,"1338,  April 2e",,Gloucester.,April 2,"1338, April 2e, GENERAL RELEASE"
HCM 1620,HCM 1620,REQUEST,Pontefract Castle,Documented,1300-01-01T00:00:00Z,1322-03-09T00:00:00Z,"Early 14th century,  ante 1322,  March 9.",approx,Pontefract castle,,"Early 14th century, ante 1322, March 9., REQUEST"
