Document Number	Doc Type	Given At	Earliest Date	Latest Date	DATE	Date notes	Given at_old	COMMENTS	QUOTE_TRANSCRIPTION
HCM 1447	FORMS OF INDULGENCE		1320-01-01T00:00:00Z	1320-12-31T00:00:00Z	|girea 1520.	approx		circa 1320	|girea 1520., FORMS OF INDULGENCE
HCM 1448a	RECEIPT	Hereford	1361-12-22T00:00:00Z		1361 Eatnentay next after the Feast of Saint Thomas Apostle,  namely December 22		Hereford	candidate for subdivision--i.e. separate 1448a from 1448b, RECEIPT	HCM 1448, 1361 Eatnentay next after the Feast of Saint Thomas Apostle, namely December 22,, RSCEIPT, LIST
HCM 1448b	LIST		1361-12-22T00:00:00Z					Attached to 1448a in typescript	
HCM 147	GRANT	Webbel'	1345-02-16T00:00:00Z		1344/5,  Wednesday next after the Teast .   of 5t. Valentine (February 16)		Webbel'		1344/5, Wednesday next after the Teast .   of 5t. Valentine (February 16), GRANT
HCM 1471	GRANT in fee-farm	Hereford	1334-04-29T00:00:00Z		1334,  Friday next after the Feast of Saint Mark the Evangelist (April 29]		Hereford		1334, Friday next after the Feast of Saint Mark the Evangelist (April 29], GRANT, in fee-ferm,
HCM 1472	RELEASE	Hereford	1292-07-02T00:00:00Z		1292,  wednesday next after the Feast of the Apostles Peter and Paul (July 2)		Hereford		1292, wednesday next after the Feast of the Apostles Peter and Paul (July 2), RELEASE
HCM 1473	RELEASE	Hereford	1345-12-30T00:00:00Z		1345,  Friday next before the Feast of the ,   Circumcision of our lord \December 30)		Hereford		1345, Friday next before the Feast of the ,  Circumcision of our lord \December 30), RELEASE
HCM 1474	asta ohag	Hereford	1350-04-08T00:00:00Z		1350,  April 8		Hereford	GRANT, ?|grantor	1350, April 8, asta ohag, a
HCM 1481	LEASE		1300-01-01T00:00:00Z	1350-12-31T00:00:00Z	first half 14th	first half 14th century		first half 14th, per Penelope	14th century., LEASE
HCM 1485	AGREEMENT	Hereford	1314-01-01T00:00:00Z	1314-12-31T00:00:00Z	[circa 1314].	circa 1314	Hereford		[circa 1314]., AGREEMENT
HCM 1486	GRANT in fee-farm	Preston	1323-10-09T00:00:00Z		1323,  Sunday,  the Feast of Saint ,   Dyonisius [October 9]		Preston		1323, Sunday, the Feast of Saint ,  Dyonisius [October 9], GRANT in fee-farm
HCM 1487	GRANT	Hereford	1331-12-29T00:00:00Z		1331,  Sunday,  the Feast of Saint Thomas,  ,   martyr | December 29]		Hereford		1331, Sunday, the Feast of Saint Thomas, ,  martyr | December 29], GRANT
HCM 1489	RELEASE	Hereford	1308-07-26T00:00:00Z		1308,  Friday next after the Feast of Saint James the Apostle [July 26]		Hereford		1308, Friday next after the Feast of Saint James the Apostle [July 26], RELEASE
HCM 1496	NOTARIAL INSTRUMENT	cathedral church	1340-05-29T00:00:00Z		1340,  May 29.		cathedral church		1340, May 29., NOTARIAL INSTRUMENT
HCM 15	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	isirca 1300.	approx			isirca 1300., GRANT
HCM 150	RELEASE	Hereford	1315-04-30T00:00:00Z		1315,  the day of the Vigil of the Ascension of the Jord,  Kalends of May [April 30]		Hereford		1315, the day of the Vigil of the Ascension of the Jord, Kalends of May [April 30], RELEASE
HCM 1502	MAIDATE	Lendo	1304-12-03T00:00:00Z		1304,  3 Non. December December 3		Lendo		1304, 3 Non. December December 3,, MAIDATE
HCM 1503	MANDATE	London	1309-11-02T00:00:00Z		1309,  4 Non. November [November 2]		London		1309, 4 Non. November [November 2], MANDATE
HCM 1504	MANDATE	Arleye	1310-01-08T00:00:00Z		1309/10,  6 Ides January [January 8]		Arleye		1309/10, 6 Ides January [January 8], MANDATE
HCM 1504-em	MANDATE	Court of Arches	1309-11-02T00:00:00Z		4 Nones November		Court of Arches	(embedded doc), (embedded doc)|1309	mandate, 4 Nones November
HCM 1505	RETURN	Kermerdyn	1310-02-15T00:00:00Z		1309/10,  Sunday in Septuagesima [February 15]		Kermerdyn		1309/10, Sunday in Septuagesima [February 15], RETURN
HCM 1506	NOTES OF EVENTS	parish church of Saint Peter at Kermerdin	1309-01-01T00:00:00Z	1309-12-31T00:00:00Z	[circa 1309].	approx	parish church of Saint Peter at Kermerdin		[circa 1309]., NOTES OF EVENTS
HCM 1507.C.	MANDATE	Bosebury	1316-05-05T00:00:00Z		1316,  3 Non. May [May 5]		Bosebury		1316, 3 Non. May [May 5], MANDATE
HCM 1507.D.	DUPLICATE		1285-12-21T00:00:00Z		[1285,  December 21].				[1285, December 21]., DUPLICATE
HCM 151	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	approx			Early 14th century., GRANT,
HCM 1510	MEMORANDUM	Lawad’	1338-08-19T00:00:00Z		1338,  14 Kal. September August 19.		Lawad’		1338, 14 Kal. September August 19., MEMORANDUM
HCM 1521	DEFEASANCE	Gloucester.	1330-04-23T00:00:00Z		1330,  Monday,  the Feast of St. George the martyr | April 23].		Gloucester.		1330, Monday, the Feast of St. George the martyr | April 23]., DEFEASANCE
HCM 1522	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Early 14th century.	approx			Early 14th century., GRANT,
HCM 1523	BOND	Sweynes	1314-04-23T00:00:00Z		1314,  Tuesday the Feast of Saint George,  martyr [April 23]		Sweynes		1314, Tuesday the Feast of Saint George, martyr [April 23], BOND
HCM 1524	GRANT	chapter-house of the monastery of Gloucester	1339-07-17T00:00:00Z		be Saturday in the Feast of Saint Kenelm,  ,   king and martyr (July 17]		chapter-house of the monastery of Gloucester		be Saturday in the Feast of Saint Kenelm, ,  king and martyr (July 17], GRANT
HCM 1527	PRECEPT	Wormelowe	1326-09-19T00:00:00Z	1326-12-31T00:00:00Z	1326,  post September 19	approx	Wormelowe		1326, post September 19, PRECEPT
HCM 1529	GRANT	Ostrem	1315-10-12T00:00:00Z		1315,  October 12.		Ostrem		1315, October 12., GRANT
HCM 153	RELEASE	Hereford	1317-12-10T00:00:00Z		1317,  Saturday next after the Feast of St. Nicholas [December 10].		Hereford		1317, Saturday next after the Feast of St. Nicholas [December 10]., RELEASE
HCM 154	GRANT	Hereford	1342-07-12T00:00:00Z		1342,  Friday next after the Feast of the Translation of St. Thomas the Martyr (July 12].		Hereford		1342, Friday next after the Feast of the Translation of St. Thomas the Martyr (July 12]., GRANT
HCM 1542	LETTER		1361-01-01T00:00:00Z	1366-12-31T00:00:00Z	13..,  eireg 1361 - cireg 1366	approx		13... [circa 1361-circa 1366] (date illegible)	13.., eireg 1361 - cireg 1366, LETTER
HCM 1581	GRANT	chapter-house at Gloucester	1306-06-25T00:00:00Z		1306,  Saturday,  the morrow of the Feast of St. John the Baptist [June 25]		chapter-house at Gloucester		1306, Saturday, the morrow of the Feast of St. John the Baptist [June 25], GRANT
HCM 1583	LEASE	Gloucester.	1287-12-21T00:00:00Z		1287,  the Feast of St. Thomas the Apostle December 21)		Gloucester.		1287, the Feast of St. Thomas the Apostle December 21), LEASE
HCM 1584	RELEASE	Temedebur'	1351-05-27T00:00:00Z		1351,  Fri next after the Feast of   . * Saint Benelbert |May 27)»		Temedebur'		1351, Fri next after the Feast of   . * Saint Benelbert |May 27)», RELEASE
HCM 1587	GRAN?	Temedebur'	1351-12-12T00:00:00Z		1351,  Mondey next after the Feast of St,  Nicholas the bishop (December 12]		Temedebur'		1351, Mondey next after the Feast of St, Nicholas the bishop (December 12], GRAN?
HCM 1599	MANDATE	London	1308-03-06T00:00:00Z		1307/8,  March 6.		London		1307/8, March 6., MANDATE
HCM 16	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			Lgirea 1300, GRANT
HCM 1600	BOND	chapter-house at Gloucester	1298-12-13T00:00:00Z		1298,  the Feast of Lucia the Virgin : ,   iLDecember 13].		chapter-house at Gloucester		1298, the Feast of Lucia the Virgin : ,  iLDecember 13]., BOND
HCM 1601	LEASE	Upton’ St. Leonard	1338-09-07T00:00:00Z		1338,  Monday next before the Feast of the ,   Nativity of the Blessed Mary |September 7]		Upton’ St. Leonard		1338, Monday next before the Feast of the ,  Nativity of the Blessed Mary |September 7], LEASE
HCM 1610	RECEIPT	Gloucester.	1305-04-19T00:00:00Z		1305,  Monday the morrow of Easter [April 19]		Gloucester.		1305, Monday the morrow of Easter [April 19], RECEIPT
HCM 1611	LEASE	chapter-house at Gloucester	1342-06-11T00:00:00Z		1342,  Tuesday the Feast of St. Barnabas the Apostle | June 11j		chapter-house at Gloucester		1342, Tuesday the Feast of St. Barnabas the Apostle | June 11j, LEASE
HCM 1613	GENERAL RELEASE	Gloucester.	1338-04-02T00:00:00Z		1338,  April 2e		Gloucester.	April 2	1338, April 2e, GENERAL RELEASE
HCM 1620	REQUEST	Pontefract castle	1300-01-01T00:00:00Z	1322-03-09T00:00:00Z	Early 14th century,  ante 1322,  March 9.	approx	Pontefract castle		Early 14th century, ante 1322, March 9., REQUEST
HCM 1621	WRIT	Menstr’ in island of Thanet	1313-12-07T00:00:00Z		[1313],  December 7.		Menstr’ in island of Thanet		[1313], December 7., WRIT
HCM 1622	LEASE	chapter-house at Gloucester	1307-09-25T00:00:00Z		1307,  Monday next after the Feast of St. Mathew the Apostle [September 25]		chapter-house at Gloucester		1307, Monday next after the Feast of St. Mathew the Apostle [September 25], LEASE
HCM 1623	GRANT in fee-farm	Gloucester.	1290-08-13T00:00:00Z		1290,  Sunday next after the Feast of Saint Laurence | ?August 13].		Gloucester.		1290, Sunday next after the Feast of Saint Laurence | ?August 13]., GRANT in fee-farm
HCM 1624	LETTERS PATENT		1342-04-28T00:00:00Z		1342,  April 28.				1342, April 28., LETTERS PATENT
HCM 1626	RECORD OF A PLEA		1328-01-01T00:00:00Z	1328-12-31T00:00:00Z	igirecs 1328.	approx			igirecs 1328., RECORD OF A PLEA
HCM 1645	LETTER	Ste Edmunds	1296-12-24T00:00:00Z	1298	1297-98 26 Edward I.		Ste Edmunds		1297-98 26 Edward I., LETTER
HCM 1646	QUITCLAIM		1303-06-29T00:00:00Z		1303,  the Feast of the Apostles Peter ,   and Paul jJune 291.			1303, QUITCLAIM	1503, the Feast of the Apostles Peter ,  and Paul jJune 291., CUITCLAIM,
HCM 1647	Coe	Stanedith'	1304-01-05T00:00:00Z		1303/4,  Sunday ip the Vigil of the — Epiphany of our Lord [January 5].		Stanedith'	QUITCLAIM	1303/4, Sunday ip the Vigil of the — Epiphany of our Lord [January 5]., Coe
HCM 1652	LETTER	Lincoln	1314-10-16T00:00:00Z		1314,  October 16.		Lincoln		1314, October 16., LETTER
HCM 1653	PRUGMITATION	chapter-house at Gloucester	1304-07-03T00:00:00Z		1304,  5 Non, July fJuly 3.		chapter-house at Gloucester	PRESENTATION	1304, 5 Non,July fJuly 3., PRUGMITATION
HCM 1654	GRANT		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT
HCM 1656	LETTERS PATENT		1288-09-11T00:00:00Z		1288,  soventer sexs after the Feast of the ,   Netivity of the Blessed Mary | September 11]				1288, soventer sexs after the Feast of the ,  Netivity of the Blessed Mary | September 11], LETTERS PATENT
HCM 1657	QUITCLAIM	Stanedichss	1311-01-23T00:00:00Z		1310/11,  Saturday next before the Feast of the Conversion of St. Paul the Apostle [January 23]		Stanedichss		1310/11, Saturday next before the Feast of the Conversion of St. Paul the Apostle [January 23], QUITCLAIM
HCM 1658	QUITCLAIM	London	1316-01-18T00:00:00Z		1315/6,  January 18		London		1315/6, January 18, QUITCLAIM
HCM 1658a	INVENTORY	Ledbury	1316-01-27T00:00:00Z		1315/6,  Tuesday after the Feast of the Conversion of St. Paul [27 Jan.]		Ledbury		1315/6, Tuesday after the Feast of the Conversion of St. Paul [27 Jan.], INVENTORY
HCM 1667	LEASE	chapter-house at Gloucester	1322-11-18T00:00:00Z		1322,  Thursday next after the Feast of ,   St. Sartin [November 18		chapter-house at Gloucester		1322, Thursday next after the Feast of ,  St. Sartin [November 18, LEASE
HCM 1670	BOND	Eiunsaeade	1303-06-02T00:00:00Z		1303,  Feast of the Holy Trinity June 2		Eiunsaeade		1303, Feast of the Holy Trinity June 2,, BOND
HCM 1679	LEASE	chapter-house at Gloucester	1315-08-17T00:00:00Z		1315,  Sunday next after the Feast of the Assumption of the Blessed Mary [August 17]		chapter-house at Gloucester		1315, Sunday next after the Feast of the Assumption of the Blessed Mary [August 17], LEASE
HCM 1681	LEASE		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Rarly 14th centu	approx			Rarly 14th centu, LEASE
HCM 1682	GRANT in fee-farm	chapter-house at Gloucester	1307-03-21T00:00:00Z		1306/7,  Feast of St. Benedict the abbot [March 21]		chapter-house at Gloucester		1306/7, Feast of St. Benedict the abbot [March 21], GRANT in fee-farm
HCM 1683	GRANT in fee-farm	chapter-house at Gloucester	1318-03-21T00:00:00Z		1317/8,  Feast of St. Benedict the abbot [March 21]		chapter-house at Gloucester		1317/8, Feast of St. Benedict the abbot [March 21], GRANT in fee-farm
HCM 1684	MEMORANDUM		1288-09-11T00:00:00Z		probably 1288., dey before the Ides of September in the year 1288			1333	probably 1288., MEMORANDUM, dey before the Ides of September in the year 1288, 13535, Friday, April 9, LEASE
HCM 1686	GENERAL RELEASE	Gloucester.	1339-04-24T00:00:00Z		13399 Saturday the morrow of the Feast of Saint George,  martyr | April 24]		Gloucester.	1339	13399 Saturday the morrow of the Feast of Saint George, martyr | April 24], GENERAL RELEASE
HCM 1687	QUITCLAIM	Gloucester.	1346-12-27T00:00:00Z		1346,  Wednesday,  the Feast of St. John the Evoengelist (December 27)		Gloucester.		1346, Wednesday, the Feast of St. John the Evoengelist (December 27), QUITCLAIM
HCM 1689	MEMORANDUM OF AGREEMENT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			Lgirea 1300., MEMORANDUM OF AGREEMENT
HCM 1690	GRANT	chapter-house at Gloucester	1349-11-10T00:00:00Z		1349,  Tuesdsy next after the Feast of St. Leonard |November 10].		chapter-house at Gloucester		1349, Tuesdsy next after the Feast of St. Leonard |November 10]., GRANT
HCM 1699	GRANT	Eppeneye	1331-09-26T00:00:00Z		1331 Thursdey next before the Feast of St,  Michael the Archangel | September 26]		Eppeneye		1331 Thursdey next before the Feast of St, Michael the Archangel | September 26], GRANT
HCM 170	GRANT	Hereford	1349-03-19T00:00:00Z		1348/9,  Thursday next before the Feast of St. Benedict the Abbot (March 19].		Hereford	??|Domini, which indicates all these guys are clerical, yes?	1348/9, Thursday next before the Feast of St. Benedict the Abbot (March 19]., Sis ii eT ”, GRANT
HCM 1702	QUITCLAIM	Gloucester.	1304-04-15T00:00:00Z		1504,  April 15.		Gloucester.	1304, QUITCLAIM	1504, April 15., CUITCLAIN
HCM 1703	GRANT	Turford	1317-09-30T00:00:00Z		1317,  Friday,  the Feast of St. Jerome,  bishop and confessor [September 30]		Turford		1317, Friday, the Feast of St. Jerome, bishop and confessor [September 30], GRANT
HCM 1708	LETTERS OF ATTORNEY	Gloucester.	1360-10-16T00:00:00Z		1360,  October 16., 		Gloucester.		1360, October 16., LETTERS OF ATTORNEY
HCM 171	GRANT	Hereford	1349-05-01T00:00:00Z		1349,  Friday the Feast of St. Philip and ste Sames the Apostles | May 1]		Hereford	??|Domini, meaning all these guys are clerks, yes?	1349, Friday the Feast of St. Philip and ste Sames the Apostles | May 1], edad, GRANT
HCM 1711	LETTER	Avignon	1330-10-21T00:00:00Z		1330,  12 Kal. November October 21j		Avignon		1330, 12 Kal. November October 21j, LETTER
HCM 1713	BOND	La Mersche juxts Yeele	1327-02-08T00:00:00Z		1326/7,  Sunday next after the Feast of the Purification of the Blessed Mary | February 8]		La Mersche juxts Yeele		1326/7, Sunday next after the Feast of the Purification of the Blessed Mary | February 8], BOND
HCM 1719	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Barly 14th century.	early 14th century			Barly 14th century., GRANT,
HCM 1720	QUITCLAIM	Clifford Chaumberers	1321-02-01T00:00:00Z		1320/1,  Sunday,  the vigil of the Feast | of the reo of the blessed Virgin Mary (February 1\		Clifford Chaumberers		1320/1, Sunday, the vigil of the Feast | of the reo of the blessed Virgin Mary (February 1\, QUITCLAIM
HCM 1721	RESIGNATION	Gloucester.	1338-02-27T00:00:00Z		1337/8,  3 Kal,  March February 27|		Gloucester.		1337/8, 3 Kal, March February 27|, RESIGNATION
HCM 1723	GRANT in fee-farm	Ledbury	1333-05-01T00:00:00Z		1333,  Saturday,  the Feast of the Apostles Philly and James [May 1)		Ledbury		1333, Saturday, the Feast of the Apostles Philly and James [May 1), GRANT in fee-farm,
HCM 1724	LEASE	Ledbury	1336-09-29T00:00:00Z		1336,  the Feast of St. Michael | September 29.		Ledbury		1336, the Feast of St. Michael | September 29., LEASE
HCM 1729	MEMORANDUM	Ledbury	1333-05-02T00:00:00Z		1333,  eens sere after the Feast of the %  Apostles Philip end James [May 2		Ledbury		1333, eens sere after the Feast of the %  Apostles Philip end James [May 2, MEMORANDUM
HCM 1730	Commission	Hereford	1354-08-29T00:00:00Z		1354,  August 29°		Hereford		1354, August 29°, COMMISSION
HCM 1732	GRANT		1300-01-01T00:00:00Z	1325-12-31T00:00:00Z	Karly 14th century.	approx			Karly 14th century., GRANT
HCM 1734	GRANT in fee-farm	Ledbury	1317-10-08T00:00:00Z		1317,  8 Ides October [October 8]		Ledbury		1317, 8 Ides October [October 8], GRANT in fee-farm
HCM 1736	FINAL CONCORD	king's court at Westuinster	1305-07-01T00:00:00Z		1305,  Octave of the Feast of St. John the Baptist [July 1]		king's court at Westuinster		1305, Octave of the Feast of St. John the Baptist [July 1], FINAL CONCORD
HCM 174	GRANT	Hereford	1312-11-07T00:00:00Z		1312,  Tuesday the morrow after the Feast of St. Leonard the Abbot [November 7].		Hereford		1312, Tuesday the morrow after the Feast of St. Leonard the Abbot [November 7]., GRANT
HCM 1746	LEASE	chapter-house at Gloucester	1312-07-24T00:00:00Z		1312,  the Vigil of St. James the Apostle [July 24]		chapter-house at Gloucester		1312, the Vigil of St. James the Apostle [July 24], LEASE
HCM 1747	GRANT in fee-farm	Ministrewurth	1319-02-07T00:00:00Z		1318/9,  Noinceday next after the Feast ,   of the Purification of the Blessed Mary | February 7		Ministrewurth		1318/9, Noinceday next after the Feast ,  of the Purification of the Blessed Mary | February 7, GRANT in fee-farm
HCM 1750	GRANT	Ledbury	1325-03-11T00:00:00Z		1324/5,  Monday next before the Feast of St. Gregory |Mareh 11]		Ledbury		1324/5, Monday next before the Feast of St. Gregory |Mareh 11], GRANT.
HCM 1751	GRANT	Ledbury	1305-06-19T00:00:00Z		1305,  Saturday next after the Feast of the Holy Trinity [June 19]		Ledbury		1305, Saturday next after the Feast of the Holy Trinity [June 19], GRANT
HCM 1752	GRANT	Hereford	1312-01-08T00:00:00Z		1311/2,  Saturday next before the Feast of St. Hilary [January 8]		Hereford		1311/2, Saturday next before the Feast of St. Hilary [January 8], GRANT
HCM 1753	GRAN?	"on"".; Upton’ St. Leonard; Upton St Leonard, nr Glouc"	1361-10-25T00:00:00Z		1361,  Monday next before the Feast of the Apostles Simon and Jude [October 25]		"on""."	GRANT	1361, Monday next before the Feast of the Apostles Simon and Jude [October 25], GRAN?
HCM 1754	LETTERS OF PROXY	chapter-house at Worcester	1314-07-03T00:00:00Z		1314,  5 Non. July [July 3].		chapter-house at Worcester		1314, 5 Non. July [July 3]., LETTERS OF PROXY
HCM 1755	GRANT	Munstr’	1319-02-21T00:00:00Z		1318/9,  Ash Wednesday | February 21		Munstr’		1318/9, Ash Wednesday | February 21, GRANT
HCM 1766	RECEIPT	Leominster	1321-03-14T00:00:00Z		1320/1,  Saturdey next after the Feast of St. Gregory,  confessor (March 14]		Leominster		1320/1, Saturdey next after the Feast of St. Gregory, confessor (March 14], RECEIPT
HCM 1767	WRIT	Westminster	1332-01-27T00:00:00Z		1331/2,  January 27.		Westminster		1331/2, January 27., WRIT
HCM 1767-em1	ENDORSEMENT	Hereford	1332-05-10T00:00:00Z		three weeks after Easter in the year 1332		Hereford	Someone else should double-check this	ENDORSEMENT, three weeks after Easter in the year 1332
HCM 1767-em2	addition	Westminster	1332-07-09T00:00:00Z		deted 9 July 1332		Westminster		addition, deted 9 July 1332
HCM 1768	GRANT	Sweynes	1314-11-27T00:00:00Z		1314,  Wednesday next after the Feast of St. Katherine,  virgin and martyr [November 27]		Sweynes		1314, Wednesday next after the Feast of St. Katherine, virgin and martyr [November 27], Grant,
